City,Customer Name,Customer Segment,Order Date,Order ID,Order Priority,Product Category,Product Container,Product Name,Product Sub-Category,Region,Row ID,Ship Date,Ship Mode,State,Zip Code,Customer Age,Discount,Discount %,Number of Records,Order Quantity,Product Base Margin,Profit,Sales,Shipping Cost,Unit Price
McKeesport,Jessica Myrick,Small Business,01-01-2012,28774,High,Office Supplies,Small Box,"Perma STOR-ALL™ Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H",Storage & Organization,East,4031,02-01-2012,Regular Air,Pennsylvania,15131,,0.1,10,1,32,0.68,-111.8,180.36,4.69,5.98
Bowie,Matt Collister,Home Office,01-01-2012,13729,Not Specified,Office Supplies,Large Box,Safco Industrial Wire Shelving,Storage & Organization,East,1914,03-01-2012,Express Air,Maryland,20715,,0.08,8,1,9,,-342.91,872.48,35,95.99
Napa,Alan Schoenberger,Corporate,02-01-2012,37537,Low,Furniture,Jumbo Drum,Hon 4070 Series Pagoda™ Armless Upholstered Stacking Chairs,Chairs & Chairmats,West,5272,02-01-2012,Delivery Truck,California,94559,,0,0,1,4,0.56,-193.08,1239.06,48.8,291.73
Montebello,Elizabeth Moffitt,Consumer,02-01-2012,44069,Critical,Office Supplies,Wrap Bag,White GlueTop Scratch Pads,Paper,West,6225,02-01-2012,Regular Air,California,90640,,0.08,8,1,43,0.39,247.79,614.8,1.97,15.04
Napa,Alan Schoenberger,Corporate,02-01-2012,37537,Low,Furniture,Jumbo Drum,Hon Valutask™ Swivel Chairs,Chairs & Chairmats,West,5273,04-01-2012,Delivery Truck,California,94559,,0.07,7,1,43,0.69,-1049.85,4083.19,45,100.98
Montebello,Elizabeth Moffitt,Consumer,02-01-2012,44069,Critical,Office Supplies,Wrap Bag,"Black Print Carbonless Snap-Off® Rapid Letter, 8 1/2"" x 7""",Paper,West,6224,04-01-2012,Express Air,California,90640,,0.09,9,1,16,0.4,26.71,137.63,2.15,9.11
Prior Lake,David Philippe,Consumer,02-01-2012,9285,Critical,Office Supplies,Small Box,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",Binders and Binder Accessories,Central,1279,04-01-2012,Regular Air,Minnesota,55372,,0.06,6,1,3,0.36,-11.937,124.81,2.99,40.98
Napa,Alan Schoenberger,Corporate,02-01-2012,37537,Low,Office Supplies,Small Box,"Dual Level, Single-Width Filing Carts",Storage & Organization,West,5274,09-01-2012,Regular Air,California,94559,,0.05,5,1,32,0.59,1438.49,4902.38,7.07,155.06
Phenix City,Patrick Jones,Home Office,03-01-2012,40354,High,Furniture,Jumbo Box,Bush Advantage Collection® Round Conference Table,Tables,South,5705,04-01-2012,Delivery Truck,Alabama,36869,,0.09,9,1,4,0.64,-93.16,698,52.2,212.6
Draper,Larry Tron,Home Office,03-01-2012,9762,High,Furniture,Medium Box,36X48 HARDFLOOR CHAIRMAT,Office Furnishings,West,1336,04-01-2012,Regular Air,Utah,84020,,0.05,5,1,12,0.78,-146.05,262.76,21.2,20.98
Phenix City,Patrick Jones,Home Office,03-01-2012,40354,High,Office Supplies,Small Box,Avery Heavy-Duty EZD ™ Binder With Locking Rings,Binders and Binder Accessories,South,5704,04-01-2012,Regular Air,Alabama,36869,,0.03,3,1,29,0.37,12.5545,172.51,2.99,5.58
Lake Oswego,Alex Russell,Home Office,03-01-2012,7909,High,Office Supplies,Wrap Bag,"Dixon Prang® Watercolor Pencils, 10-Color Set with Brush",Pens & Art Supplies,West,1074,04-01-2012,Regular Air,Oregon,97035,,0.03,3,1,29,0.44,24.55,122.23,1.2,4.26
Kearney,Bill Donatelli,Corporate,03-01-2012,30016,Critical,Office Supplies,Small Box,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),Paper,Central,4223,05-01-2012,Regular Air,Nebraska,68847,,0.03,3,1,15,0.4,-41.58,85.56,5.66,5.28
Layton,Ann Steele,Corporate,03-01-2012,11972,Not Specified,Technology,Jumbo Drum,Panasonic KX-P2130 Dot Matrix Printer,Office Machines,West,1663,05-01-2012,Delivery Truck,Utah,84041,,0,0,1,4,0.59,-452.2695,896.49,14.7,213.45
Baton Rouge,Andy Reiter,Corporate,03-01-2012,9637,Low,Technology,Small Box,"Fellowes Mobile Numeric Keypad, Graphite",Computer Peripherals,South,1315,05-01-2012,Regular Air,Louisiana,70802,,0.08,8,1,12,0.66,-236.43,522.49,16.71,43.22
Kearney,Bill Donatelli,Corporate,03-01-2012,30016,Critical,Technology,Small Box,T18,Telephones and Communication,Central,4224,06-01-2012,Regular Air,Nebraska,68847,,0.01,1,1,8,0.57,-212.553,754.6555,2.5,110.99
Baton Rouge,Andy Reiter,Corporate,03-01-2012,9637,Low,Office Supplies,Wrap Bag,"Staples Wirebound Steno Books, 6"" x 9"", 12/Pack",Paper,South,1317,07-01-2012,Regular Air,Louisiana,70802,,0.04,4,1,12,0.36,32.44,123.76,2.27,10.14
Baton Rouge,Andy Reiter,Corporate,03-01-2012,9637,Low,Technology,Large Box,Polycom ViaVideo™ Desktop Video Communications Unit,Office Machines,South,1316,10-01-2012,Regular Air,Louisiana,70802,,0.05,5,1,49,0.37,14440.39,28359.4,24.49,574.74
Bryan,Dave Hallsten,Home Office,04-01-2012,49730,High,Furniture,Jumbo Drum,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,Chairs & Chairmats,Central,6953,05-01-2012,Delivery Truck,Texas,77803,,0.06,6,1,3,0.61,-394.69,1039.56,30,350.98
Pharr,Tamara Dahlen,Corporate,04-01-2012,8710,Critical,Office Supplies,Small Box,Cardinal Poly Pocket Divider Pockets for Ring Binders,Binders and Binder Accessories,Central,1193,05-01-2012,Regular Air,Texas,78577,,0.03,3,1,17,0.4,-76.015,63.34,6.27,3.36
Pharr,Tamara Dahlen,Corporate,04-01-2012,8710,Critical,Office Supplies,Wrap Bag,"""While you Were Out"" Message Book, One Form per Page",Paper,Central,1194,06-01-2012,Express Air,Texas,78577,,0.07,7,1,42,0.35,8.33,151.35,1.93,3.71
Bedford,Darren Budd,Consumer,05-01-2012,57253,Critical,Furniture,Large Box,Telescoping Adjustable Floor Lamp,Office Furnishings,Central,8013,05-01-2012,Regular Air,Texas,76021,,0.07,7,1,48,0.6,-335.24,12635.75,35,279.48
Bedford,Darren Budd,Consumer,05-01-2012,57253,Critical,Technology,Small Box,232,Telephones and Communication,Central,8015,05-01-2012,Regular Air,Texas,76021,,0.04,4,1,25,0.55,667.449,2750.107,5.26,125.99
Dubuque,Marina Lichtenstein,Corporate,05-01-2012,32418,Not Specified,Furniture,Jumbo Drum,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Chairs & Chairmats,Central,4555,06-01-2012,Delivery Truck,Iowa,52001,,0.08,8,1,5,0.55,-131.31,1244.19,43.32,243.98
Bedford,Darren Budd,Consumer,05-01-2012,57253,Critical,Furniture,Jumbo Box,"Iceberg OfficeWorks 42"" Round Tables",Tables,Central,8014,06-01-2012,Regular Air,Texas,76021,,0.08,8,1,49,0.7,-139.15575,240.3,5.68,4.91
Bedford,Darren Budd,Consumer,05-01-2012,57253,Critical,Furniture,Jumbo Drum,"Metal Folding Chairs, Beige, 4/Carton",Chairs & Chairmats,Central,8011,06-01-2012,Regular Air,Texas,76021,,0.08,8,1,43,0.58,1.74,78.08,0.75,1.81
Norman,Pauline Chand,Small Business,05-01-2012,28451,Critical,Furniture,Large Box,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,Office Furnishings,Central,3982,06-01-2012,Regular Air,Oklahoma,73071,,0.02,2,1,41,0.59,2593.14,8958.46,21.21,209.84
Ormond Beach,Valerie Dominguez,Corporate,05-01-2012,25601,Medium,Office Supplies,Small Box,"Perma STOR-ALL™ Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H",Storage & Organization,South,3588,06-01-2012,Regular Air,Florida,32174,,0.09,9,1,43,0.68,-131.08,257.41,4.69,5.98
Deer Park,Dorris Love,Home Office,05-01-2012,290,Not Specified,Office Supplies,Wrap Bag,"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",Paper,East,47,06-01-2012,Regular Air,New York,11729,,0.05,5,1,24,0.36,-32.48,188.73,5.83,7.64
Fort Dodge,Matt Collins,Consumer,05-01-2012,1028,High,Technology,Small Pack,"Memorex 4.7GB DVD+RW, 3/Pack",Computer Peripherals,Central,164,06-01-2012,Regular Air,Iowa,50501,,0.03,3,1,6,0.4,-28.46,165.75,1.99,28.48
Bedford,Darren Budd,Consumer,05-01-2012,57253,Critical,Furniture,Jumbo Drum,Hon 4700 Series Mobuis™ Mid-Back Task Chairs with Adjustable Arms,Chairs & Chairmats,Central,8012,07-01-2012,Delivery Truck,Texas,76021,,0.06,6,1,29,0.64,-1358.9,653.54,53.03,20.98
Norman,Pauline Chand,Small Business,05-01-2012,28451,Critical,Furniture,Large Box,Electrix Halogen Magnifier Lamp,Office Furnishings,Central,3981,07-01-2012,Regular Air,Oklahoma,73071,,0.01,1,1,21,0.59,1162.76,4201.08,11.54,194.3
Monroe,Robert Waldorf,Home Office,05-01-2012,59232,High,Office Supplies,Small Box,"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case",Paper,South,8291,07-01-2012,Regular Air,Louisiana,71203,,0,0,1,23,0.4,245.97,725.43,5.76,30.98
Mount Prospect,Susan Vittorini,Home Office,05-01-2012,52386,High,Technology,Jumbo Drum,Canon S750 Color Inkjet Printer,Office Machines,Central,7352,07-01-2012,Delivery Truck,Illinois,60056,,0.08,8,1,6,0.38,-188.5812,700.73,26.3,120.97
Norman,Pauline Chand,Small Business,05-01-2012,28451,Critical,Technology,Jumbo Drum,Panasonic KX-P1150 Dot Matrix Printer,Office Machines,Central,3983,07-01-2012,Delivery Truck,Oklahoma,73071,,0,0,1,33,0.56,1054.93,4913.7,17.85,145.45
Fort Dodge,Matt Collins,Consumer,05-01-2012,1028,High,Technology,Small Box,3285,Telephones and Communication,Central,165,07-01-2012,Regular Air,Iowa,50501,,0.01,1,1,11,0.59,-60.39,2021.147,5.99,205.99
Bristol,Corey Roper,Small Business,06-01-2012,48226,Low,Furniture,Jumbo Box,"Bush Westfield Collection Bookcases, Fully Assembled",Bookcases,East,6773,06-01-2012,Delivery Truck,Connecticut,06010,,0.02,2,1,23,0.62,-108.8,2357.45,35.84,100.98
Galesburg,Julia West,Home Office,06-01-2012,23488,Critical,Furniture,Jumbo Box,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Bookcases,Central,3284,07-01-2012,Delivery Truck,Illinois,61401,,0.04,4,1,30,0.62,-11053.6,26133.39,44.55,880.98
Petersburg,Muhammed Yedwab,Consumer,06-01-2012,16770,Critical,Office Supplies,Wrap Bag,"Sanford EarthWrite® Recycled Pencils, Medium Soft, #2",Pens & Art Supplies,South,2325,07-01-2012,Regular Air,Virginia,23805,,0.03,3,1,17,0.57,0.61,37.06,0.7,2.1
Hilton Head Island,Craig Leslie,Consumer,06-01-2012,14274,Not Specified,Technology,Small Box,Accessory35,Telephones and Communication,South,2003,07-01-2012,Regular Air,South Carolina,29915,,0.03,3,1,2,0.55,-164.043,61.7185,1.1,35.99
Herndon,Tracy Collins,Consumer,06-01-2012,16961,Not Specified,Technology,Small Pack,BASF Silver 74 Minute CD-R,Computer Peripherals,South,2350,07-01-2012,Regular Air,Virginia,20170,,0.06,6,1,27,0.51,-37.08,46.86,1.99,1.7
Hilton Head Island,Craig Leslie,Consumer,06-01-2012,14274,Not Specified,Furniture,Jumbo Drum,Novimex Swivel Fabric Task Chair,Chairs & Chairmats,South,2001,08-01-2012,Delivery Truck,South Carolina,29915,,0.01,1,1,23,0.74,112.44,3674.08,30,150.98
Royal Palm Beach,Victor Price,Consumer,06-01-2012,6854,Medium,Furniture,Small Pack,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Office Furnishings,South,948,08-01-2012,Express Air,Florida,33411,,0.05,5,1,19,0.37,2.39,129.84,4.95,6.64
Royal Palm Beach,Victor Price,Consumer,06-01-2012,6854,Medium,Office Supplies,Small Box,GBC VeloBinder Strips,Binders and Binder Accessories,South,947,08-01-2012,Express Air,Florida,33411,,0.07,7,1,1,0.35,-2.392,22.13,6.16,7.68
Hilton Head Island,Craig Leslie,Consumer,06-01-2012,14274,Not Specified,Office Supplies,Medium Box,Eldon Portable Mobile Manager,Storage & Organization,South,2002,08-01-2012,Express Air,South Carolina,29915,,0.01,1,1,46,0.58,-40.72,1413.89,13.99,28.28
Herndon,Tracy Collins,Consumer,06-01-2012,16961,Not Specified,Office Supplies,Small Box,Xerox 19,Paper,South,2351,08-01-2012,Regular Air,Virginia,20170,,0.01,1,1,34,0.4,433.24,1089.59,5.09,30.98
Fairfax,Maribeth Schnelling,Corporate,06-01-2012,41094,Low,Office Supplies,Small Box,Xerox 227,Paper,South,5794,08-01-2012,Regular Air,Virginia,20151,,0.09,9,1,46,0.37,-225.86,298.97,8.73,6.48
San Clemente,Julia Barnett,Home Office,06-01-2012,23488,High,Office Supplies,Wrap Bag,Newell 342,Pens & Art Supplies,West,3283,08-01-2012,Regular Air,California,92672,,0.03,3,1,29,0.56,-73.19,101.77,3.97,3.28
Fairfax,Maribeth Schnelling,Corporate,06-01-2012,41094,Low,Office Supplies,Large Box,Tennsco Commercial Shelving,Storage & Organization,South,5795,10-01-2012,Regular Air,Virginia,20151,,0.05,5,1,6,0.84,-153.46,159.05,35,20.34
Las Vegas,Chloris Kastensmidt,Consumer,07-01-2012,43909,High,Office Supplies,Small Box,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Binders and Binder Accessories,West,6199,08-01-2012,Regular Air,Nevada,89115,,0.08,8,1,46,0.37,-199.134,737.25,13.18,15.99
Franklin Square,Jasper Cacioppo,Home Office,07-01-2012,3073,Medium,Office Supplies,Small Box,Avery Reinforcements for Hole-Punch Pages,Binders and Binder Accessories,East,450,08-01-2012,Regular Air,New York,11010,,0.05,5,1,3,0.4,-11.5805,10.58,4.77,1.98
Franklin Square,Jasper Cacioppo,Home Office,07-01-2012,3073,Medium,Technology,Large Box,Canon PC1060 Personal Laser Copier,Copiers and Fax,East,451,08-01-2012,Express Air,New York,11010,,0.07,7,1,3,0.41,-2314.74,2119.67,24.49,699.99
Franklin Square,Jasper Cacioppo,Home Office,07-01-2012,3073,Medium,Technology,Large Box,Polycom ViewStation™ ISDN Videoconferencing Unit,Office Machines,East,452,08-01-2012,Regular Air,New York,11010,,0.07,7,1,7,0.39,102.61,45923.76,24.49,6783.02
Norman,Pauline Chand,Small Business,07-01-2012,32295,High,Technology,Small Box,i1000,Telephones and Communication,Central,4540,08-01-2012,Regular Air,Oklahoma,73071,,0.07,7,1,11,0.58,-112.244,607.597,5.99,65.99
Lubbock,George Ashbrook,Consumer,07-01-2012,18405,Medium,Office Supplies,Small Box,Premium Transparent Presentation Covers by GBC,Binders and Binder Accessories,Central,2538,09-01-2012,Express Air,Texas,79424,,0.09,9,1,30,0.37,60.2735,610.65,8.83,20.98
Lubbock,George Ashbrook,Consumer,07-01-2012,18405,Medium,Technology,Small Box,Keytronic French Keyboard,Computer Peripherals,Central,2539,10-01-2012,Regular Air,Texas,79424,,0.03,3,1,2,0.65,-263.09,158.04,14.52,73.98
